datetime,Open,High,Low,Close,Adj Close,Volume,datetime_2
5/03/2019,112.25,112.389999,111.230003,111.699997,106.739204,19538300,5/03/2019
6/03/2019,111.870003,112.660004,111.43,111.75,106.786995,17687000,6/03/2019
7/03/2019,111.400002,111.550003,109.870003,110.389999,105.487381,25339000,7/03/2019
8/03/2019,109.160004,110.709999,108.800003,110.510002,105.602058,22818400,8/03/2019
11/03/2019,110.989998,112.949997,110.980003,112.830002,107.819016,26491600,11/03/2019
12/03/2019,112.82,113.989998,112.650002,113.620003,108.573944,26132700,12/03/2019
13/03/2019,114.129997,115,113.779999,114.5,109.414848,35513800,13/03/2019
14/03/2019,114.540001,115.199997,114.330002,114.589996,109.500854,30763400,14/03/2019
15/03/2019,115.339996,117.25,114.589996,115.910004,110.762238,54681100,15/03/2019
18/03/2019,116.169998,117.610001,116.050003,117.57,112.348511,31207600,18/03/2019
19/03/2019,118.089996,118.440002,116.989998,117.650002,112.42495,37588700,19/03/2019
20/03/2019,117.389999,118.75,116.709999,117.519997,112.300713,28113300,20/03/2019
21/03/2019,117.139999,120.82,117.089996,120.220001,114.880814,29854400,21/03/2019
22/03/2019,119.5,119.589996,117.040001,117.050003,111.851601,33624500,22/03/2019
25/03/2019,116.559998,118.010002,116.32,117.660004,112.434509,27067100,25/03/2019
26/03/2019,118.620003,118.709999,116.849998,117.910004,112.673401,26097700,26/03/2019
27/03/2019,117.879997,118.209999,115.519997,116.769997,111.58403,22733400,27/03/2019
28/03/2019,117.440002,117.580002,116.129997,116.93,111.736938,18334800,28/03/2019
29/03/2019,118.07,118.32,116.959999,117.940002,112.702072,25399800,29/03/2019
1/04/2019,118.949997,119.110001,118.099998,119.019997,113.734093,22789100,1/04/2019
2/04/2019,119.059998,119.480003,118.519997,119.190002,113.896568,18142300,2/04/2019
3/04/2019,119.860001,120.43,119.150002,119.970001,114.641907,22860700,3/04/2019
4/04/2019,120.099998,120.230003,118.379997,119.360001,114.059029,20112800,4/04/2019
5/04/2019,119.389999,120.230003,119.370003,119.889999,114.565468,15826200,5/04/2019
8/04/2019,119.809998,120.019997,118.639999,119.93,114.603691,15116200,8/04/2019
9/04/2019,118.629997,119.540001,118.580002,119.279999,113.982536,17612000,9/04/2019
10/04/2019,119.760002,120.349998,119.540001,120.190002,114.85215,16477200,10/04/2019
11/04/2019,120.540001,120.849998,119.919998,120.330002,114.985947,14209100,11/04/2019
12/04/2019,120.639999,120.980003,120.370003,120.949997,115.578384,19745100,12/04/2019
15/04/2019,120.940002,121.580002,120.57,121.050003,115.673958,15792600,15/04/2019
16/04/2019,121.639999,121.650002,120.099998,120.769997,115.40638,14071800,16/04/2019
17/04/2019,121.239998,121.849998,120.540001,121.769997,116.361977,19300900,17/04/2019
18/04/2019,122.190002,123.519997,121.300003,123.370003,117.890915,27991000,18/04/2019
22/04/2019,122.620003,124,122.57,123.760002,118.263588,15648700,22/04/2019
23/04/2019,124.099998,125.580002,123.830002,125.440002,119.868988,24025500,23/04/2019
24/04/2019,125.790001,125.849998,124.519997,125.010002,119.458084,31257000,24/04/2019
25/04/2019,130.059998,131.369995,128.830002,129.149994,123.414223,38033900,25/04/2019
26/04/2019,129.699997,130.520004,129.020004,129.889999,124.121338,23654900,26/04/2019
29/04/2019,129.899994,130.179993,129.350006,129.770004,124.006691,16324200,29/04/2019
30/04/2019,129.809998,130.699997,129.389999,130.600006,124.799835,24166500,30/04/2019
1/05/2019,130.529999,130.649994,127.699997,127.879997,122.200623,26821700,1/05/2019
2/05/2019,127.980003,128,125.519997,126.209999,120.604774,27350200,2/05/2019
3/05/2019,127.360001,129.429993,127.25,128.899994,123.175316,24911100,3/05/2019
6/05/2019,126.389999,128.559998,126.110001,128.149994,122.458633,24239800,6/05/2019
7/05/2019,126.459999,127.18,124.220001,125.519997,119.945442,36017700,7/05/2019
8/05/2019,125.440002,126.370003,124.75,125.510002,119.935883,28419000,8/05/2019
9/05/2019,124.290001,125.790001,123.57,125.5,119.926315,27235800,9/05/2019
10/05/2019,124.910004,127.93,123.82,127.129997,121.483917,30915100,10/05/2019
13/05/2019,124.110001,125.550003,123.040001,123.349998,117.871803,33944900,13/05/2019
14/05/2019,123.870003,125.879997,123.699997,124.730003,119.190514,25266300,14/05/2019
15/05/2019,124.260002,126.709999,123.699997,126.019997,120.868996,24722700,15/05/2019
16/05/2019,126.75,129.380005,126.459999,128.929993,123.660034,30112200,16/05/2019
17/05/2019,128.309998,130.460007,127.919998,128.070007,122.835197,25770500,17/05/2019
20/05/2019,126.519997,127.589996,125.760002,126.220001,121.060837,23706900,20/05/2019
21/05/2019,127.43,127.529999,126.580002,126.900002,121.713028,15293300,21/05/2019
22/05/2019,126.620003,128.240005,126.519997,127.669998,122.451538,15396500,22/05/2019
23/05/2019,126.199997,126.290001,124.739998,126.18,121.022453,23603800,23/05/2019
24/05/2019,126.910004,127.419998,125.970001,126.239998,121.079987,14123400,24/05/2019
28/05/2019,126.980003,128,126.050003,126.160004,121.003265,23128400,28/05/2019
29/05/2019,125.379997,125.389999,124.040001,124.940002,119.83313,22763100,29/05/2019
30/05/2019,125.260002,125.760002,124.779999,125.730003,120.590866,16829600,30/05/2019
31/05/2019,124.230003,124.620003,123.32,123.68,118.624634,26646800,31/05/2019
